Graph_ID,Trial,Original_Delta_min,Weighted_Delta_min,Gap_Change_Percent,Optimal_Weighted_Cut,N,p1_approx_ratio,p1_expected_cut,p1_iterations,p2_approx_ratio,p2_expected_cut,p2_iterations,p3_approx_ratio,p3_expected_cut,p3_iterations,p4_approx_ratio,p4_expected_cut,p4_iterations,p5_approx_ratio,p5_expected_cut,p5_iterations,p6_approx_ratio,p6_expected_cut,p6_iterations,p7_approx_ratio,p7_expected_cut,p7_iterations,p8_approx_ratio,p8_expected_cut,p8_iterations,p9_approx_ratio,p9_expected_cut,p9_iterations,p10_approx_ratio,p10_expected_cut,p10_iterations,Weights
18,1,0.3566568660281488,0.2390342554575859,-32.97920824585488,15.902734961974964,12,0.6370692834478237,10.131143967086045,41,,9.834641267585232,45,0.6549911541136104,10.416150726306844,67,0.6810101303770179,10.82992360980573,66,,10.471454480637686,101,0.6971101073616477,11.085957276686196,115,,10.023873961458545,134,,9.473446654449576,138,,9.879028312759122,129,,9.660245337388162,159,"[0.8116262258099887, 1.9063571821788405, 1.4907884894416696, 1.2374511199743694, 0.3964354168406294, 0.39638958863878504, 0.21035886311957896, 1.7457346769723767, 1.2421185223120967, 1.4453378978124864, 0.13911053916202465, 1.942828719107789, 1.6816410175208012, 0.5034443102887247, 0.4454674376934912, 0.44846856872152424, 0.6780602616231216, 1.097037220101252]"
18,2,0.3566568660281488,0.263117322391194,-26.226760942146633,14.998718850471308,12,0.6730880809651159,10.09545888799904,29,,9.509075958250278,42,0.6998720491159027,10.49718409599267,53,,9.771924154812323,79,,10.12888391410008,98,,10.244830063115646,98,,10.1020639555574,123,,9.5835244589848,162,,10.035286461615827,181,,9.631948902250167,148,"[0.9206955354200199, 0.6533353663762796, 1.262520499972521, 0.36503833523887946, 0.6550748322169144, 0.7960875022580142, 0.9665329700123683, 1.5918343266467259, 0.4793801861008835, 1.077045432985862, 1.2255876808378807, 0.18825578416799568, 1.2543352186127328, 0.4239958350058539, 0.22359802667203107, 1.9028825207813331, 1.9347008628416626, 1.635954961421276]"
18,3,0.3566568660281488,0.2370619670405158,-33.53220150209978,16.287768390661466,12,0.6672721305556508,10.86837391603366,27,,10.51573748797703,44,0.6986024246820562,11.378674490375852,53,,11.116446712677224,78,,10.88189094774664,110,,10.781675103716212,123,,10.241927983099073,172,,11.087707150178565,145,,10.418765527500206,166,,10.37203645937134,151,"[0.6787661614294043, 0.28557701661212936, 1.400042750373098, 0.9362897381052424, 0.3318726462050798, 1.0408361292114132, 0.16533819011891496, 1.8277087639496858, 0.5916819650400321, 1.3587923402725657, 0.6922510445698808, 1.0881292402378404, 1.1387495307522313, 0.45122346549850134, 1.9422107927526613, 1.5727523643861177, 1.8850479889719591, 1.8001719658125328]"
18,4,0.3566568660281488,0.4660212469380065,30.66375312713768,14.90557870863795,12,0.6403606662983963,9.544946313426587,28,,9.235361221858184,41,,9.443304106355685,62,,9.107405244282928,80,0.839675708219114,12.515852358591316,200,,9.189342803203992,115,,9.364724306034129,121,,8.855824098458227,123,,9.078904733749075,149,,9.432670793950138,163,"[1.2360099597410616, 1.8515610465439218, 0.268135753898647, 0.47236743859637587, 0.18593184893002232, 0.7181276284502022, 0.8384868504100158, 0.6155631603704023, 1.6746012673886657, 0.7778313207178196, 0.6337755684060234, 1.131122558000672, 0.367756027452049, 1.6241742634326752, 0.24164622299156457, 1.9750851795409827, 1.567265061663649, 0.47755979491492756]"
18,5,0.3566568660281488,0.4576404978681019,28.313945828252496,17.13036259920701,12,0.6132137049663219,10.504573116876244,33,,10.381831660368189,38,0.6270647857080435,10.741847152372827,52,0.6415335811072286,10.989702863934603,72,,10.385681607881809,93,0.6968958721769889,11.93807898428244,138,,10.665239542848235,124,,10.464523725406092,128,,10.507597595567535,135,,9.866868741876214,150,"[0.11049202253484457, 1.6493767140641848, 1.4430289533104725, 1.4851136192778758, 1.5654136587032967, 0.2406848382947717, 0.7810848842341179, 0.32015121309774647, 1.7398965091636276, 1.28426644097236, 0.7287062472200334, 0.2207608655434449, 0.6908664112597581, 0.7178483118508193, 1.4862517388423218, 1.3113591955749049, 1.7857042108950203, 0.9972083578077037]"
18,6,0.3566568660281488,0.0502556444911093,-85.90924519391056,15.206150777052564,12,0.6274791337930329,9.541542317911198,28,0.6562223534732963,9.978616050187227,43,0.6741242640643652,10.250835201832336,55,,9.499332132502952,63,,9.707692870457944,80,,10.126457162116214,102,0.6829067287598553,10.384382684186098,141,,10.110265889612064,161,,9.60816854851024,145,,10.16958638163433,211,"[0.32722906728277323, 1.4551650957236903, 1.545491592372105, 1.1664266753820427, 1.5648376419136658, 1.0382116330923423, 1.0931923758257887, 0.9123279348812443, 0.14829634081378087, 0.3049937112872785, 0.15971545280479507, 1.3091797814011827, 0.6972763640450207, 1.0662843132129352, 1.8243763004595768, 0.5736552353828623, 0.8797275537676965, 1.5355471632317925]"
18,7,0.3566568660281488,0.5989680116003626,67.93957123850511,17.22543864910695,12,0.6182364460553261,10.64939397216794,35,0.6374502387529302,10.980359979497177,42,0.6467876350046718,11.141200725773954,51,0.6892779473905557,11.873114994958389,89,,10.782863258767769,94,,11.171026878776448,136,,11.166573591167854,120,,11.143049482705427,168,,10.40745984776195,159,,11.53842275036086,228,"[0.5347165144340826, 0.2462618286747067, 0.6505277605361592, 0.4063204457826084, 1.8664255394508888, 1.6354287211723921, 1.3034671373698046, 1.7557751213566635, 1.6269769461083174, 0.45448311188346807, 1.7958620971309578, 1.1247502596397363, 1.6341362948117188, 1.8025734698546372, 0.7042066024465413, 0.30909865660258584, 0.5330768088296892, 0.911504798389887]"
18,8,0.3566568660281488,0.1533917937570752,-56.9917732230146,16.22084470614753,12,0.6143138643672374,9.964689794734335,35,0.6229358323280576,10.10454539808818,40,0.669895419819392,10.866269574249865,60,,10.439659685983598,71,0.731227479332372,11.86112738711811,104,,10.860028194068256,97,,10.826574368031023,128,,9.830174046963783,108,,10.2504514069734,168,,10.34017854466185,195,"[1.6542280552527369, 1.7353881081870524, 0.11320904800926235, 1.0704198748973748, 0.8930809059826801, 0.5220048398943875, 0.32774419793399734, 0.7414688256668931, 1.8915284374337864, 0.7140855708394349, 1.0857021813123955, 1.435736021900838, 0.7908962445206585, 1.9463859571698252, 1.9286498603900113, 0.5783863620681918, 1.0447721611955323, 0.6716687886518623]"
18,9,0.3566568660281488,0.4523365160490353,26.826807257745365,15.285406656187048,12,0.6314166292231098,9.651459947154112,29,0.6414796034594678,9.805276600527575,56,,9.47308804828787,52,0.6519074790254082,9.964670919113091,80,,9.503320662506718,87,,9.893900545805389,121,0.6590485191241833,10.073824620971008,162,,9.978584508874905,160,,9.208108269949904,164,,9.083249241154151,156,"[0.6411969393171885, 0.17008519997361232, 1.258172234561804, 1.0550901441348368, 0.19780962737497976, 0.6294282820495617, 1.825705183336642, 0.5551675922672475, 0.37530025697332386, 1.0299602445273697, 1.9727358628101412, 0.5599050158718508, 1.377057540071169, 1.5470772691245633, 0.5515113335855594, 1.4836110623625332, 0.798787952166581, 1.301381078127801]"
18,10,0.3566568660281488,0.2461915238000864,-30.972442352853495,13.42463556858596,12,0.6437520858151492,8.642137148585453,39,0.7059512187052122,9.477137840316598,46,,9.25051290928815,73,,9.007764970163397,61,,8.840374391825488,82,,9.31731605730891,110,0.7248891634584,9.73137284704616,141,,8.931760415121468,141,,8.679331926968157,162,,8.768053627444676,205,"[1.3037064504456999, 1.1179718997420411, 0.2715505631033758, 1.6870747416195522, 0.709482123446298, 0.45438516975972304, 0.17747276895405145, 1.2226965920576593, 1.3873722875003365, 0.1315168749629267, 1.0729768107686337, 0.5303419728760821, 1.3258283017779546, 0.43129621510948374, 1.4127817023946851, 0.834797157971021, 1.8797869785997956, 0.3612897938773872]"
